"date","subways_total_estimated_ridership","buses_total_estimated_ridersip"
"2021-09-04T00:00:00.000","1777639","834456"
"2021-09-05T00:00:00.000","1415352","618622"
"2021-09-06T00:00:00.000","1521388","733947"
"2021-09-07T00:00:00.000","2233674","1102372"
"2021-09-08T00:00:00.000","2529619","1192895"
"2021-09-09T00:00:00.000","2702713","1249341"
"2021-09-10T00:00:00.000","2840443","1322430"
"2021-09-11T00:00:00.000","1983091","870791"
"2021-09-12T00:00:00.000","1589976","694561"
"2021-09-13T00:00:00.000","2852796","1441516"
"2021-09-14T00:00:00.000","3011275","1511145"
"2021-09-15T00:00:00.000","2987334","1503627"
"2021-09-16T00:00:00.000","2534545","1210069"
"2021-09-17T00:00:00.000","3028545","1456201"
"2021-09-18T00:00:00.000","2014848","871175"
"2021-09-19T00:00:00.000","1596823","674024"
"2021-09-20T00:00:00.000","2883211","1481676"
"2021-09-21T00:00:00.000","3018312","1505803"
"2021-09-22T00:00:00.000","3021113","1506211"
"2021-09-23T00:00:00.000","3016106","1483075"
