pl_name,pl_orbper,pl_orbsmax,st_mass,discoverymethod,disc_year
"Kepler-66 b",17.81581500000,0.1352000000,1.038000,"Transit",2013
"Kepler-93 b",4.72673978000,0.0534300000,0.911000,"Transit",2014
"Kepler-342 b",15.17031800000,0.1280000000,,"Transit",2014
"Kepler-318 b",4.66271500000,0.0560000000,,"Transit",2014
"Kepler-409 b",68.95832160000,0.3192000000,0.913000,"Transit",2014
"Kepler-334 c",12.75800500000,0.1070000000,,"Transit",2014
"Kepler-337 c",9.69320100000,0.0930000000,,"Transit",2014
"Kepler-332 b",7.62632400000,0.0700000000,,"Transit",2014
"Kepler-339 b",4.97765600000,0.0550000000,,"Transit",2014
"Kepler-447 b",7.79430132000,0.0769000000,1.000000,"Transit",2015
"Kepler-347 b",12.79836000000,0.1100000000,,"Transit",2014
"Kepler-411 c",7.83443500000,0.0739000000,0.870000,"Transit",2016
"Kepler-45 b",2.45523900000,0.0300000000,0.590000,"Transit",2011
"Kepler-324 c",51.80561200000,0.2600000000,,"Transit",2014
"Kepler-325 b",4.54443900000,0.0530000000,,"Transit",2014
"Kepler-65 c",5.85994400000,0.0680000000,1.250000,"Transit",2012
"Kepler-188 b",2.06189700000,0.0320000000,,"Transit",2014
"Kepler-91 b",6.24658000000,0.0731000000,1.310000,"Transit",2013
"Kepler-361 c",55.18802300000,0.3000000000,,"Transit",2014
"Kepler-362 c",37.86628100000,0.2070000000,,"Transit",2014
"Kepler-104 b",11.42754800000,0.0940000000,,"Transit",2014
"Kepler-363 d",11.93212500000,0.1070000000,,"Transit",2014
"Kepler-1979 b",18.50845260000,0.1383000000,1.028000,"Transit",2023
"Kepler-364 c",59.98062700000,0.3120000000,,"Transit",2014
"Kepler-365 b",10.66490300000,0.0980000000,,"Transit",2014
"Kepler-427 b",10.29099400000,0.0910000000,0.960000,"Transit",2014
"Kepler-366 b",3.28195900000,0.0450000000,,"Transit",2014
"Kepler-354 b",5.47666000000,0.0540000000,,"Transit",2014
"Kepler-367 b",37.81572400000,0.2010000000,,"Transit",2014
"Kepler-368 b",26.84768000000,0.1860000000,,"Transit",2014
"Kepler-369 c",14.87157200000,0.0940000000,,"Transit",2014
"Kepler-370 c",19.02293000000,0.1400000000,,"Transit",2014
"Kepler-371 b",34.76327800000,0.2000000000,,"Transit",2014
"Kepler-372 c",20.05376300000,0.1540000000,,"Transit",2014
"Kepler-373 b",5.53530900000,0.0600000000,,"Transit",2014
"Kepler-374 c",3.28280700000,0.0420000000,,"Transit",2014
"Kepler-355 c",25.76229400000,0.1790000000,,"Transit",2014
"Kepler-375 c",19.98632600000,0.1410000000,,"Transit",2014
"Kepler-356 c",13.12163200000,0.1150000000,,"Transit",2014
"Kepler-376 c",14.17232700000,0.1150000000,,"Transit",2014
"Kepler-377 c",27.01497600000,0.1820000000,,"Transit",2014
"Kepler-12 b",4.43796290000,0.0553000000,1.166000,"Transit",2011
"Kepler-378 b",16.09236100000,0.1120000000,,"Transit",2014
"Kepler-379 c",62.78469700000,0.3260000000,,"Transit",2014
"Kepler-122 b",5.76619300000,0.0640000000,,"Transit",2014
"Kepler-112 c",28.57426300000,0.1720000000,,"Transit",2014
"Kepler-2001 c",14.09258318900,0.1084000000,0.864000,"Transit",2023
"Kepler-18 d",14.85888000000,0.1172000000,0.972000,"Transit",2011
"Kepler-357 d",49.49987500000,0.2460000000,,"Transit",2014
"Kepler-114 b",5.18854900000,0.0530000000,,"Transit",2014
"Kepler-358 c",83.48836900000,0.3810000000,,"Transit",2014
"Kepler-353 c",8.41089400000,0.0650000000,,"Transit",2014
"Kepler-110 c",31.71977500000,0.1980000000,,"Transit",2014
"Kepler-1995 b",73.75788750000,0.3259000000,0.847000,"Transit",2023
"Kepler-359 c",57.68802000000,0.3070000000,,"Transit",2014
"Kepler-360 b",3.28967200000,0.0440000000,,"Transit",2014
"Kepler-67 b",15.72590000000,0.1171000000,0.865000,"Transit",2013
"Kepler-103 c",179.60978000000,0.6679000000,1.212000,"Transit",2014
"Kepler-104 d",51.75539400000,0.2570000000,,"Transit",2014
"Kepler-101 c",6.02976000000,0.0684000000,1.170000,"Transit",2014
"Kepler-20 f",19.57832800000,0.1387000000,0.929000,"Transit",2011
"Kepler-33 b",5.66793000000,0.0677000000,1.291000,"Transit",2011
"Kepler-102 f",27.45359200000,0.1656000000,0.803000,"Transit",2014
"Kepler-102 c",7.07139200000,0.0670200000,0.803000,"Transit",2014
"Kepler-102 b",5.28696500000,0.0552100000,0.803000,"Transit",2014
"KOI-94 b",3.74320800000,0.0511900000,1.277000,"Transit",2013
"Kepler-37 c",21.30184800000,0.1390000000,0.790000,"Transit",2013
"Kepler-37 b",13.36702000000,0.1019000000,0.790000,"Transit",2013
"Kepler-68 c",9.60502700000,0.0900800000,1.057000,"Transit",2013
"Kepler-49 e",18.59610800000,0.1160000000,,"Transit",2014
"Kepler-34 b",288.82200000000,1.0896000000,1.047900,"Transit",2011
"Kepler-115 b",2.40367900000,0.0360000000,,"Transit",2014
"Kepler-116 c",13.07163000000,0.1160000000,,"Transit",2014
"Kepler-50 c",9.37647000000,0.0870000000,1.240000,"Transit",2012
"Kepler-280 c",4.80709100000,0.0560000000,,"Transit",2014
"Kepler-281 b",14.64600800000,0.1170000000,,"Transit",2014
"Kepler-1991 b",13.26079792000,0.1065000000,0.914000,"Transit",2023
"Kepler-285 c",6.18667600000,0.0640000000,,"Transit",2014
